sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9671090244332058
6.9,3.1,5.1,2.3,virginica,0.9618611532469968
5.1,2.5,3.0,1.1,versicolor,0.9507411370793039
4.4,2.9,,0.2,setosa,0.6385619454004391
5.9,3.0,5.1,1.8,virginica,0.7424107196645909
5.5,3.5,1.3,0.2,setosa,0.9593955849948151
5.6,,3.6,1.3,versicolor,0.9383104736197649
6.5,3.0,5.2,2.0,virginica,0.9408281828806495
5.3,3.7,1.5,0.2,setosa,0.9644851146759564
5.1,3.4,1.5,,setosa,0.8149785501840126
6.1,2.8,4.0,1.3,versicolor,0.9784898048560456
5.5,2.4,3.7,1.0,versicolor,0.9786916498313558
7.7,3.0,6.1,2.3,virginica,0.9567359991863877
6.9,3.1,4.9,1.5,versicolor,0.7615465599209592
6.0,2.2,5.0,1.5,versicolor,0.612161670185889
